127.0.0.1 - - [22/Dec/2021:23:11:18 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Dec/2021:23:11:20 +0300] "GET /TikiShop/ HTTP/1.1" 200 26158
0:0:0:0:0:0:0:1 - - [22/Dec/2021:23:11:20 +0300] "GET /TikiShop/assets/user_interface/style.css HTTP/1.1" 200 8647
0:0:0:0:0:0:0:1 - - [22/Dec/2021:23:11:20 +0300] "GET /TikiShop/assets/user_interface/css/bootstrap.css HTTP/1.1" 200 133510
0:0:0:0:0:0:0:1 - - [22/Dec/2021:23:11:20 +0300] "GET /TikiShop/assets/user_interface/font-awesome/css/font-awesome.css HTTP/1.1" 200 28711
0:0:0:0:0:0:0:1 - - [22/Dec/2021:23:11:20 +0300] "GET /TikiShop/assets/user_interface/js/bootstrap.min.js HTTP/1.1" 200 28636
0:0:0:0:0:0:0:1 - - [22/Dec/2021:23:11:20 +0300] "GET /TikiShop/assets/user_interface/js/jquery.easing-1.3.min.js HTTP/1.1" 200 3443
0:0:0:0:0:0:0:1 - - [22/Dec/2021:23:11:20 +0300] "GET /TikiShop/assets/user_interface/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [22/Dec/2021:23:11:20 +0300] "GET /TikiShop/assets/user_interface/js/shop.js HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [22/Dec/2021:23:11:20 +0300] "GET /TikiShop/assets/user_interface/js/jquery.js HTTP/1.1" 200 94842
0:0:0:0:0:0:0:1 - - [22/Dec/2021:23:11:20 +0300] "GET /TikiShop/assets/user_interface/assets/user_interface/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [22/Dec/2021:23:11:20 +0300] "GET /TikiShop/assets/user_interface/img/paypal.jpg HTTP/1.1" 200 28395
0:0:0:0:0:0:0:1 - - [22/Dec/2021:23:11:20 +0300] "GET /TikiShop/assets/user_interface/bookImgs/welcomehome.jpg HTTP/1.1" 200 36467
0:0:0:0:0:0:0:1 - - [22/Dec/2021:23:11:20 +0300] "GET /TikiShop/assets/user_interface/font-awesome/font/fontawesome-webfont.eot? HTTP/1.1" 200 37405
0:0:0:0:0:0:0:1 - - [22/Dec/2021:23:11:20 +0300] "GET /TikiShop/assets/user_interface/bookImgs/justlikeyou.jpg HTTP/1.1" 200 188251
