127.0.0.1 - - [21/Dec/2021:16:03:11 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:29 +0300] "GET /TikiShop/assets/user_interface/bookImgs/welcomehome.jpg HTTP/1.1" 200 36467
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:29 +0300] "GET /TikiShop/assets/user_interface/bookImgs/flavour.jpg HTTP/1.1" 200 268123
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:29 +0300] "GET /TikiShop/assets/user_interface/bookImgs/bigsky.jpg HTTP/1.1" 200 626998
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:29 +0300] "GET /TikiShop/assets/user_interface/img/1.png HTTP/1.1" 200 6623
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:29 +0300] "GET /TikiShop/assets/user_interface/img/2.png HTTP/1.1" 200 5843
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:29 +0300] "GET /TikiShop/assets/user_interface/img/3.png HTTP/1.1" 200 7435
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:29 +0300] "GET /TikiShop/assets/user_interface/img/4.png HTTP/1.1" 200 5543
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:29 +0300] "GET /TikiShop/assets/user_interface/img/5.png HTTP/1.1" 200 5114
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:29 +0300] "GET /TikiShop/assets/user_interface/img/6.png HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:29 +0300] "GET /TikiShop/assets/user_interface/img/maestro.png HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:29 +0300] "GET /TikiShop/assets/user_interface/img/mc.png HTTP/1.1" 200 2213
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:29 +0300] "GET /TikiShop/assets/user_interface/img/pp.png HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:29 +0300] "GET /TikiShop/assets/user_interface/img/visa.png HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:29 +0300] "GET /TikiShop/assets/user_interface/assets/user_interface/img/white_leather.png HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:29 +0300] "GET /TikiShop/assets/user_interface/img/slides/mainbannerEdited.jpg HTTP/1.1" 200 175668
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:29 +0300] "GET /TikiShop/assets/user_interface/font-awesome/font/fontawesome-webfont.woff?v=3.2.1 HTTP/1.1" 200 43572
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:29 +0300] "GET /TikiShop/assets/user_interface/ico/favicon.ico HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:31 +0300] "GET /TikiShop/register HTTP/1.1" 200 15995
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:31 +0300] "GET /TikiShop/assets/user/img/paypal.jpg HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:31 +0300] "GET /TikiShop/assets/user_interface/bookImgs/greatcoat.jpg HTTP/1.1" 200 103934
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:31 +0300] "GET /TikiShop/assets/user_interface/assets/user_interface/img/white_leather.png HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:42 +0300] "POST /TikiShop/login HTTP/1.1" 200 15995
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:42 +0300] "GET /TikiShop/assets/user/img/paypal.jpg HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:42 +0300] "GET /TikiShop/assets/user_interface/assets/user_interface/img/white_leather.png HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:45 +0300] "GET /TikiShop/register HTTP/1.1" 200 15987
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:45 +0300] "GET /TikiShop/assets/user/img/paypal.jpg HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:45 +0300] "GET /TikiShop/assets/user_interface/bookImgs/kumukanda.jpg HTTP/1.1" 200 281901
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:45 +0300] "GET /TikiShop/assets/user_interface/bookImgs/pine.jpg HTTP/1.1" 200 232695
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:48 +0300] "POST /TikiShop/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:49 +0300] "GET /TikiShop/home?statusLogin=Something+wrong%21 HTTP/1.1" 200 25457
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:49 +0300] "GET /TikiShop/assets/user_interface/bookImgs/rednotice.jpg HTTP/1.1" 200 160046
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:03:49 +0300] "GET /TikiShop/assets/user_interface/bookImgs/origin.jpg HTTP/1.1" 200 368920
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:04:01 +0300] "GET /TikiShop/bill HTTP/1.1" 200 8147
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:04:14 +0300] "GET /TikiShop/logout HTTP/1.1" 302 -
