0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /assets/user_interface/img/disc.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:44 +0300] "GET /TikiShop/ HTTP/1.1" 200 24431
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:44 +0300] "GET /TikiShop/assets/user/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:44 +0300] "GET /TikiShop/assets/user/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:44 +0300] "GET /TikiShop/assets/user/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:44 +0300] "GET /TikiShop/assets/user/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:44 +0300] "GET /TikiShop/assets/user/img/slide/bootstrap_free-ecommerce.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:44 +0300] "GET /TikiShop/assets/user/img/slide/carousel1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:44 +0300] "GET /TikiShop/assets/user/img/slide/bootstrap-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:44 +0300] "GET /TikiShop/assets/user/img/slide/carousel3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:44 +0300] "GET /TikiShop/assets/user_interface/bookImgs/icebreaker.jpg HTTP/1.1" 200 1582016
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:44 +0300] "GET /TikiShop/assets/user_interface/bookImgs/meettheman.jpg HTTP/1.1" 200 1156308
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:44 +0300] "GET /TikiShop/assets/user_interface/bookImgs/greenlights.jpg HTTP/1.1" 200 129795
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:44 +0300] "GET /TikiShop/assets/user_interface/bookImgs/pine.jpg HTTP/1.1" 200 232695
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:44 +0300] "GET /TikiShop/assets/user_interface/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:44 +0300] "GET /assets/user_interface/img/maestro.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:44 +0300] "GET /assets/user_interface/img/mc.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:44 +0300] "GET /TikiShop/assets/user_interface/bookImgs/welcomehome.jpg HTTP/1.1" 200 36467
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:44 +0300] "GET /assets/user_interface/img/pp.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:44 +0300] "GET /assets/user_interface/img/visa.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:44 +0300] "GET /assets/user_interface/img/disc.png HTTP/1.1" 404 797
